AL, 12, 2024092718,   , BEST,   0, 147N,  252W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1007,  200, 150,   0,   0,   L,   0,    ,   0,   0, GENESIS029,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092800,   , BEST,   0, 147N,  264W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  200, 150,   0,   0,   L,   0,    ,   0,   0, GENESIS029,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092806,   , BEST,   0, 145N,  277W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  200, 150,   0,   0,   L,   0,    ,   0,   0, GENESIS029,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092812,   , BEST,   0, 143N,  291W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  200, 150,   0,   0,   L,   0,    ,   0,   0, GENESIS029,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092818,   , BEST,   0, 140N,  302W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  200, 150,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, SPAWNINVEST, al722024 to al902024, 
AL, 12, 2024092900,   , BEST,   0, 137N,  307W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1011,  220, 150,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092906,   , BEST,   0, 137N,  312W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  220, 120,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092912,   , BEST,   0, 137N,  316W,  30, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  220,  90,  40,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024092918,   , BEST,   0, 138N,  321W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  220,  60,  40,   0,   L,   0,    ,   0,   0,     TWELVE, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, TRANSITIONED, alC02024 to al122024, 
AL, 12, 2024093000,   , BEST,   0, 138N,  328W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  220,  60,  40,   0,   L,   0,    ,   0,   0,     TWELVE, S,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024093006,   , BEST,   0, 136N,  334W,  35, 1004, TS,  34, NEQ,   60,    0,    0,    0, 1010,  230,  50,  40,   0,   L,   0,    ,   0,   0,     TWELVE, M,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024093012,   , BEST,   0, 134N,  343W,  45, 1001, TS,  34, NEQ,  100,   80,   60,   80, 1010,  230,  50,  55,   0,   L,   0,    ,   0,   0,       KIRK, M,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
AL, 12, 2024093018,   , BEST,   0, 135N,  351W,  50,  999, TS,  34, NEQ,  100,   80,   60,   80, 1010,  240,  40,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,   90,    0,    0,   90, genesis-num, 029, 
AL, 12, 2024093018,   , BEST,   0, 135N,  351W,  50,  999, TS,  50, NEQ,   40,   40,    0,    0, 1010,  240,  40,  60,   0,   L,   0,    ,   0,   0,       KIRK, M, 12, NEQ,   90,    0,    0,   90, genesis-num, 029, 
